id,title,intro,poster,pubdate,url,rating,genres,star,comment,tags,star_time,card
4767216,憨豆特工2,,https://dou.img.lithub.cc/movie/4767216.jpg,2011-10-07(英国),https://movie.douban.com/subject/4767216/,7.3,喜剧,,@2023-11-30 17:14:52,,2023-11-30 17:14:52,2011 / 美国 法国 英国 / 喜剧 / 奥利弗·帕克 / 罗温·艾金森 吉莲·安德森
3654340,宿醉2,,https://dou.img.lithub.cc/movie/3654340.jpg,2011-05-26(美国),https://movie.douban.com/subject/3654340/,6.9,喜剧,,@2023-11-30 17:14:43,,2023-11-30 17:14:43,2011 / 美国 / 喜剧 / 托德·菲利普斯 / 布莱德利·库珀 扎克·加利凡纳基斯
3233761,宿醉,,https://dou.img.lithub.cc/movie/3233761.jpg,2009-06-05(美国),https://movie.douban.com/subject/3233761/,7.7,喜剧,,@2023-11-30 17:14:33,,2023-11-30 17:14:33,2009 / 美国 / 喜剧 / 托德·菲利普斯 / 布莱德利·库珀 艾德·赫尔姆斯
26336252,碟中谍6：全面瓦解,,https://dou.img.lithub.cc/movie/26336252.jpg,2018-08-31(中国大陆),https://movie.douban.com/subject/26336252/,8.1,"动作,惊悚,冒险",,@2023-11-30 17:12:59,,2023-11-30 17:12:59,2018 / 美国 中国大陆 法国 挪威 英国 / 动作 惊悚 冒险 / 克里斯托弗·麦奎里 / 汤姆·克鲁斯 亨利·卡维尔
1291870,雨人,,https://dou.img.lithub.cc/movie/1291870.jpg,1988-12-16(美国),https://movie.douban.com/subject/1291870/,8.7,剧情,,@2023-11-30 17:12:03,,2023-11-30 17:12:03,1988 / 美国 / 剧情 / 巴瑞·莱文森 / 达斯汀·霍夫曼 汤姆·克鲁斯
32493124,悬崖之上,,https://dou.img.lithub.cc/movie/32493124.jpg,2021-04-30(中国大陆),https://movie.douban.com/subject/32493124/,7.3,"剧情,动作,悬疑",,@2023-11-30 17:10:27,,2023-11-30 17:10:27,2021 / 中国大陆 中国香港 / 剧情 动作 悬疑 / 张艺谋 / 张译 于和伟
35660795,消失的她,,https://dou.img.lithub.cc/movie/35660795.jpg,2023-06-22(中国大陆),https://movie.douban.com/subject/35660795/,6.2,"悬疑,犯罪",,@2023-11-30 17:09:49,,2023-11-30 17:09:49,2022 / 中国大陆 / 悬疑 犯罪 / 崔睿 刘翔 / 朱一龙 倪妮
25853071,庆余年 第一季,,https://dou.img.lithub.cc/movie/25853071.jpg,2019-11-26(中国大陆),https://movie.douban.com/subject/25853071/,7.9,"剧情,古装",,@2023-11-30 17:09:08,,2023-11-30 17:09:08,2019 / 中国大陆 / 剧情 古装 / 孙皓 / 张若昀 李沁
1297192,致命ID,,https://dou.img.lithub.cc/movie/1297192.jpg,2003-04-25(美国),https://movie.douban.com/subject/1297192/,8.9,"剧情,悬疑,惊悚",,@2023-11-30 16:33:21,,2023-11-30 16:33:21,2003 / 美国 / 剧情 悬疑 惊悚 / 詹姆斯·曼高德 / 约翰·库萨克 雷·利奥塔
2334904,禁闭岛,,https://dou.img.lithub.cc/movie/2334904.jpg,2010-02-13(柏林电影节),https://movie.douban.com/subject/2334904/,8.9,"剧情,悬疑,惊悚",,@2023-11-30 15:55:29,,2023-11-30 15:55:29,2010 / 美国 / 剧情 悬疑 惊悚 / 马丁·斯科塞斯 / 莱昂纳多·迪卡普里奥 马克·鲁法洛
35465016,宁安如梦,,https://dou.img.lithub.cc/movie/35465016.jpg,2023-11-07(中国大陆),https://movie.douban.com/subject/35465016/,6.8,"剧情,古装",,@2023-11-30 15:24:43,,2023-11-30 15:24:43,2023 / 中国大陆 / 剧情 古装 / 朱锐斌 / 白鹿 张凌赫
27133303,超时空同居,,https://dou.img.lithub.cc/movie/27133303.jpg,2018-05-18(中国大陆),https://movie.douban.com/subject/27133303/,6.8,"喜剧,爱情,奇幻",5,@2018-05-27 12:38:30,"喜剧,国产,奇幻,爱情,爱情/青春",2018-05-27 12:38:30,2018 / 中国大陆 / 喜剧 爱情 奇幻 / 苏伦 / 雷佳音 佟丽娅
